kod,nazwa,dlugosc_geograficzna,szerokosc_geograficzna,nazwa_rzeki,rok_1951,rok_1952,rok_1953,rok_1954,rok_1955,rok_1956,rok_1957,rok_1958,rok_1959,rok_1960,rok_1961,rok_1962,rok_1963,rok_1964,rok_1965,rok_1966,rok_1967,rok_1968,rok_1969,rok_1970,rok_1971,rok_1972,rok_1973,rok_1974,rok_1975,rok_1976,rok_1977,rok_1978,rok_1979,rok_1980,rok_1981,rok_1982,rok_1983,rok_1984,rok_1985,rok_1986,rok_1987,rok_1988,rok_1989,rok_1990,rok_1991,rok_1992,rok_1993,rok_1994,rok_1995,rok_1996,rok_1997,rok_1998,rok_1999,rok_2000,rok_2001,rok_2002,rok_2003,rok_2004,rok_2005,rok_2006,rok_2007,rok_2008,rok_2009,rok_2010,rok_2011,rok_2012,rok_2013,rok_2014,rok_2015,rok_2016,rok_2017,rok_2018,rok_2019,rok_2020,rok_2021,rok_2022,rok_2023,rok_2024,rok_2025,rok_2026,rok_2027,rok_2028,rok_2029,rok_2030
3150,BABIMOST,15 47,52 08,OBRZYCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3152,BABIMOST,15 47 46,52 08 24,OBRZYCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-
6808,BALIGRÓD-MCHAWA,22 17,49 21,JABŁONKA,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6708,BARWINEK,21 41,49 26,PANNA,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,N,N,N,N,K,N,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4505,BEŁCHATÓW,19 22,51 24,WIDAWKA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4902,BEZEK,23 16,51 11,MOGILNICA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3903,BIAŁA PODLASKA,23 05,52 02,KRZNA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101,BIAŁOGARD,15 59,54 00,PARSĘTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,K,K,K,K,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3902,BIAŁOWIEŻA,23 51,52 42,NAREWKA,K,K,K,K,K,-,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,N,-,-,-,-,-,-
295,BIAŁYSTOK,23 09 44,53 06 26,BIAŁA,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
